Species 1,Species 2,Min AAI,Max AAI,Mean AAI
Cryptococcus amylolentus,Cryptococcus amylolentus,98.4059,100.0,99.2029
Cryptococcus amylolentus,Cryptococcus bacillisporus,68.8542,69.0459,68.9579
Cryptococcus amylolentus,Cryptococcus cederbergensis,67.5844,67.7507,67.6675
Cryptococcus amylolentus,Cryptococcus decagattii,68.8981,69.3671,69.141
Cryptococcus amylolentus,Cryptococcus deneoformans,69.2122,69.4576,69.3404
Cryptococcus amylolentus,Cryptococcus depauperatus,66.679,66.8783,66.7784
Cryptococcus amylolentus,Cryptococcus deuterogattii,69.245,69.4722,69.3516
Cryptococcus amylolentus,Cryptococcus floricola,92.7776,93.0608,92.9192
Cryptococcus amylolentus,Cryptococcus fructiofici,66.9396,67.1425,67.0411
Cryptococcus amylolentus,Cryptococcus gattii,68.9763,69.361,69.1655
Cryptococcus amylolentus,Cryptococcus hyracis,69.0149,69.5935,69.2908
Cryptococcus amylolentus,Cryptococcus jaspeensis,67.3682,67.5775,67.4728
Cryptococcus amylolentus,Cryptococcus maquisensis,84.1906,84.4567,84.3236
Cryptococcus amylolentus,Cryptococcus neoformans,69.1163,69.4489,69.2523
Cryptococcus amylolentus,Cryptococcus porticicola,66.4789,67.1617,66.8282
Cryptococcus amylolentus,Cryptococcus tetragattii,68.9497,69.3553,69.1484
Cryptococcus amylolentus,Cryptococcus wingfieldii,92.8376,93.2464,93.042
Cryptococcus bacillisporus,Cryptococcus bacillisporus,98.4402,100.0,99.2201
Cryptococcus bacillisporus,Cryptococcus cederbergensis,68.9959,69.0288,69.0123
Cryptococcus bacillisporus,Cryptococcus decagattii,95.3533,95.5211,95.4523
Cryptococcus bacillisporus,Cryptococcus deneoformans,87.1717,87.2183,87.1934
Cryptococcus bacillisporus,Cryptococcus depauperatus,68.5317,68.5812,68.5479
Cryptococcus bacillisporus,Cryptococcus deuterogattii,94.0576,94.2489,94.1711
Cryptococcus bacillisporus,Cryptococcus floricola,68.995,69.0286,69.0118
Cryptococcus bacillisporus,Cryptococcus fructiofici,68.261,68.3301,68.2956
Cryptococcus bacillisporus,Cryptococcus gattii,94.7367,95.0407,94.9126
Cryptococcus bacillisporus,Cryptococcus hyracis,94.5823,94.9476,94.7765
Cryptococcus bacillisporus,Cryptococcus jaspeensis,68.791,68.8028,68.7969
