Species 1,Species 2,Min AAI,Max AAI,Mean AAI
Clade10,Clade10,98.4059,100.0,99.2029
Clade10,Clade11,92.8376,93.2464,93.042
Clade10,Clade12,92.7776,93.0608,92.9192
Clade10,Clade13,84.1906,84.4567,84.3236
Clade10,Clade14,66.679,66.8783,66.7784
Clade10,Clade15,66.4789,67.1617,66.8282
Clade10,Clade16,66.9396,67.1425,67.0411
Clade10,Clade17,67.3682,67.5775,67.4728
Clade10,Clade2,69.2122,69.4576,69.3404
Clade10,Clade3,68.8542,69.0459,68.9579
Clade10,Clade4,68.8981,69.3671,69.141
Clade10,Clade5,68.9763,69.361,69.1655
Clade10,Clade6,69.0149,69.5935,69.2908
Clade10,Clade7,68.9497,69.3553,69.1484
Clade10,Clade8,69.245,69.4722,69.3516
Clade10,Clade9,67.5844,67.7507,67.6675
Clade10,CladeVNBI,69.1742,69.3921,69.2782
Clade10,CladeVNBII,69.125,69.3226,69.2298
Clade10,CladeVNI,69.1163,69.4489,69.2822
Clade10,CladeVNII,69.1267,69.3117,69.2189
Clade11,Clade11,100.0,100.0,100.0
Clade11,Clade12,94.1877,94.1877,94.1877
Clade11,Clade13,84.4176,84.4176,84.4176
Clade11,Clade14,66.8095,66.8351,66.8223
Clade11,Clade15,66.5478,67.0436,66.8506
Clade11,Clade16,67.0438,67.0438,67.0438
Clade11,Clade17,67.4334,67.4334,67.4334
Clade11,Clade2,69.3224,69.3245,69.3235
Clade11,Clade3,68.9708,69.0218,68.9963
Clade11,Clade4,69.0104,69.2162,69.1133
Clade11,Clade5,69.049,69.2242,69.1366
Clade11,Clade6,69.0144,69.4642,69.2393
Clade11,Clade7,68.9837,69.2552,69.1194
Clade11,Clade8,69.289,69.329,69.309
Clade11,Clade9,67.7722,67.7722,67.7722
Clade11,CladeVNBI,69.244,69.2775,69.2608
Clade11,CladeVNBII,69.2566,69.275,69.2658
Clade11,CladeVNI,69.2767,69.3717,69.3242
Clade11,CladeVNII,69.1998,69.2268,69.2133
Clade12,Clade12,100.0,100.0,100.0
Clade12,Clade13,84.5528,84.5528,84.5528
Clade12,Clade14,66.7893,66.819,66.8042
Clade12,Clade15,66.5642,67.0806,66.8683
Clade12,Clade16,67.0088,67.0088,67.0088
Clade12,Clade17,67.4505,67.4505,67.4505
Clade12,Clade2,69.3364,69.3468,69.3416
Clade12,Clade3,68.995,69.0286,69.0118
Clade12,Clade4,69.0368,69.2514,69.1441
Clade12,Clade5,69.0634,69.2398,69.1516
Clade12,Clade6,69.1228,69.5442,69.3335
Clade12,Clade7,69.0876,69.2824,69.185
Clade12,Clade8,69.3897,69.4058,69.3978
Clade12,Clade9,67.7622,67.7622,67.7622
Clade12,CladeVNBI,69.2879,69.3183,69.3031
Clade12,CladeVNBII,69.2386,69.2603,69.2494
Clade12,CladeVNI,69.294,69.3921,69.343
Clade12,CladeVNII,69.2637,69.2741,69.2689
Clade13,Clade13,100.0,100.0,100.0
Clade13,Clade14,66.8304,66.8465,66.8385
Clade13,Clade15,66.6024,67.0603,66.8848
Clade13,Clade16,67.1182,67.1182,67.1182
Clade13,Clade17,67.4945,67.4945,67.4945
Clade13,Clade2,69.4202,69.4402,69.4302
Clade13,Clade3,69.0475,69.109,69.0782
Clade13,Clade4,69.0603,69.2819,69.1711
Clade13,Clade5,69.0958,69.2648,69.1803
Clade13,Clade6,69.1176,69.5713,69.3445
Clade13,Clade7,68.9928,69.214,69.1034
Clade13,Clade8,69.3806,69.3873,69.384
Clade13,Clade9,67.7669,67.7669,67.7669
Clade13,CladeVNBI,69.3452,69.3581,69.3517
Clade13,CladeVNBII,69.3419,69.3702,69.356
Clade13,CladeVNI,69.3158,69.4272,69.3715
Clade13,CladeVNII,69.29,69.3007,69.2954
Clade14,Clade14,97.0066,100.0,98.5033
Clade14,Clade15,65.8691,66.3471,66.1231
Clade14,Clade16,66.3475,66.3868,66.3672
Clade14,Clade17,66.6458,66.6943,66.67
