Group 1,Group 2,Min ANI,Max ANI,Mean ANI
Clade10,Clade11,93.1868,93.2637,93.2252
Clade10,Clade12,93.1006,93.1077,93.1042
Clade10,Clade13,78.6522,78.6813,78.6667
Clade10,Clade14,66.9441,67.1383,67.0428
Clade10,Clade15,67.4307,67.637,67.5564
Clade10,Clade16,68.0762,68.1223,68.0992
Clade10,Clade17,68.1269,68.1795,68.1532
Clade10,Clade2,68.184,68.3317,68.2467
Clade10,Clade3,68.0903,68.1632,68.1186
Clade10,Clade4,68.0374,68.2487,68.1516
Clade10,Clade5,68.0599,68.1254,68.0926
Clade10,Clade6,68.042,68.2,68.144
Clade10,Clade7,68.0597,68.0896,68.0703
Clade10,Clade8,68.0698,68.1978,68.1232
Clade10,Clade9,68.1064,68.2028,68.1546
Clade10,CladeVNBI,68.1058,68.2006,68.1637
Clade10,CladeVNBII,68.051,68.1236,68.091
Clade10,CladeVNI,68.0643,68.1503,68.1142
Clade10,CladeVNII,68.0428,68.1987,68.1296
Clade11,Clade12,93.9285,93.9285,93.9285
Clade11,Clade13,78.8927,78.8927,78.8927
Clade11,Clade14,67.2936,67.3627,67.3281
Clade11,Clade15,67.6392,67.8714,67.7525
Clade11,Clade16,68.2806,68.2806,68.2806
Clade11,Clade17,68.2397,68.2397,68.2397
Clade11,Clade2,68.2202,68.2745,68.2474
Clade11,Clade3,68.2467,68.2509,68.2488
Clade11,Clade4,68.0993,68.3003,68.1998
Clade11,Clade5,68.2025,68.2025,68.2025
Clade11,Clade6,68.2077,68.3201,68.2639
Clade11,Clade7,68.1031,68.1799,68.1415
Clade11,Clade8,68.2066,68.2332,68.2199
Clade11,Clade9,68.4052,68.4052,68.4052
Clade11,CladeVNBI,68.1352,68.2406,68.1879
Clade11,CladeVNBII,68.0687,68.147,68.1079
Clade11,CladeVNI,68.1043,68.285,68.1946
Clade11,CladeVNII,68.2048,68.2064,68.2056
Clade12,Clade13,78.9278,78.9278,78.9278
Clade12,Clade14,67.3006,67.334,67.3173
Clade12,Clade15,67.627,67.9099,67.7702
Clade12,Clade16,68.4106,68.4106,68.4106
Clade12,Clade17,68.3261,68.3261,68.3261
Clade12,Clade2,68.2485,68.3458,68.2972
Clade12,Clade3,68.211,68.3209,68.266
Clade12,Clade4,68.121,68.2189,68.17
Clade12,Clade5,68.1854,68.1854,68.1854
Clade12,Clade6,68.2303,68.2578,68.244
Clade12,Clade7,68.1929,68.2412,68.217
Clade12,Clade8,68.1864,68.3083,68.2474
Clade12,Clade9,68.2591,68.2591,68.2591
Clade12,CladeVNBI,68.0851,68.2159,68.1505
Clade12,CladeVNBII,68.0559,68.1664,68.1112
Clade12,CladeVNI,68.1846,68.2282,68.2064
Clade12,CladeVNII,68.1174,68.1871,68.1523
Clade13,Clade14,67.0635,67.1568,67.1102
Clade13,Clade15,67.5425,67.7314,67.6818
Clade13,Clade16,68.1559,68.1559,68.1559
Clade13,Clade17,68.1931,68.1931,68.1931
Clade13,Clade2,68.1841,68.2092,68.1966
Clade13,Clade3,68.1688,68.1833,68.176
Clade13,Clade4,68.0976,68.2525,68.175
Clade13,Clade5,68.0982,68.0982,68.0982
Clade13,Clade6,68.088,68.287,68.1875
Clade13,Clade7,67.9547,68.1195,68.0371
Clade13,Clade8,68.0739,68.1245,68.0992
Clade13,Clade9,68.1294,68.1294,68.1294
Clade13,CladeVNBI,67.9598,68.0722,68.016
Clade13,CladeVNBII,68.0309,68.0689,68.0499
Clade13,CladeVNI,68.0131,68.0923,68.0527
Clade13,CladeVNII,68.1212,68.2395,68.1804
Clade14,Clade15,65.8229,66.2989,66.0618
Clade14,Clade16,66.0841,66.1143,66.0992
Clade14,Clade17,66.2468,66.2678,66.2573
Clade14,Clade2,67.3495,67.5182,67.4238
Clade14,Clade3,67.3883,67.4761,67.4459
Clade14,Clade4,67.366,67.4888,67.4313
Clade14,Clade5,67.2816,67.3391,67.3104
Clade14,Clade6,67.3461,67.6473,67.4572
Clade14,Clade7,67.3288,67.4903,67.3929
Clade14,Clade8,67.2879,67.529,67.4127
Clade14,Clade9,67.9921,68.12,68.056
Clade14,CladeVNBI,67.2869,67.4726,67.3689
Clade14,CladeVNBII,67.3481,67.4035,67.384
Clade14,CladeVNI,67.3902,67.5554,67.4791
Clade14,CladeVNII,67.3167,67.438,67.375
Clade15,Clade16,76.5921,76.6806,76.6508
Clade15,Clade17,76.7384,76.7914,76.7638
Clade15,Clade2,67.0564,67.2167,67.1365
Clade15,Clade3,67.0484,67.1805,67.1152
Clade15,Clade4,66.8736,67.0835,66.9786
Clade15,Clade5,66.8512,67.0409,66.9608
Clade15,Clade6,66.8868,67.1944,67.0573
Clade15,Clade7,66.9045,67.1634,67.0056
Clade15,Clade8,66.9255,67.0676,67.0159
Clade15,Clade9,67.1426,67.2582,67.2128
Clade15,CladeVNBI,66.9515,67.1473,67.0455
Clade15,CladeVNBII,66.9315,67.1516,67.05
Clade15,CladeVNI,67.0624,67.3117,67.1719
Clade15,CladeVNII,66.9423,67.1475,67.0439
Clade16,Clade17,83.0167,83.0167,83.0167
Clade16,Clade2,67.2435,67.3115,67.2775
Clade16,Clade3,67.2864,67.3107,67.2986
Clade16,Clade4,67.1372,67.2236,67.1804
Clade16,Clade5,67.2682,67.2682,67.2682
Clade16,Clade6,67.2299,67.3079,67.2689
Clade16,Clade7,67.2244,67.2957,67.2601
Clade16,Clade8,67.1448,67.2386,67.1917
Clade16,Clade9,67.5921,67.5921,67.5921
Clade16,CladeVNBI,67.1597,67.2187,67.1892
Clade16,CladeVNBII,67.1952,67.2593,67.2272
Clade16,CladeVNI,67.2236,67.3943,67.309
Clade16,CladeVNII,67.246,67.2555,67.2508
Clade17,Clade2,67.4309,67.537,67.4839
Clade17,Clade3,67.3654,67.4326,67.399
Clade17,Clade4,67.2052,67.373,67.2891
Clade17,Clade5,67.2896,67.2896,67.2896
Clade17,Clade6,67.3334,67.4773,67.4054
Clade17,Clade7,67.3506,67.376,67.3633
Clade17,Clade8,67.278,67.4193,67.3487
Clade17,Clade9,67.6503,67.6503,67.6503
Clade17,CladeVNBI,67.3734,67.4032,67.3883
Clade17,CladeVNBII,67.3786,67.4071,67.3929
Clade17,CladeVNI,67.3949,67.5528,67.4738
Clade17,CladeVNII,67.4386,67.4487,67.4436
Clade2,Clade3,83.8559,83.9157,83.8905
Clade2,Clade4,83.5813,83.6325,83.5981
Clade2,Clade5,83.8397,83.8491,83.8444
Clade2,Clade6,83.9024,84.0387,83.9919
Clade2,Clade7,83.6882,83.7719,83.7436
Clade2,Clade8,83.7719,83.8523,83.8034
Clade2,Clade9,67.8831,67.9755,67.9293
Clade2,CladeVNBI,88.2006,88.2999,88.2438
Clade2,CladeVNBII,88.2303,88.3126,88.2682
Clade2,CladeVNI,88.1723,88.2872,88.2392
Clade2,CladeVNII,88.3036,88.4692,88.3643
Clade3,Clade4,96.3103,96.4572,96.3729
Clade3,Clade5,95.1017,95.2648,95.1832
Clade3,Clade6,94.8312,95.0341,94.9118
Clade3,Clade7,94.7796,94.9121,94.8237
Clade3,Clade8,93.6715,93.8132,93.7407
Clade3,Clade9,67.9388,67.9662,67.9525
Clade3,CladeVNBI,83.6803,83.7858,83.7108
Clade3,CladeVNBII,83.6561,83.7878,83.7098
Clade3,CladeVNI,83.6353,83.7151,83.6688
Clade3,CladeVNII,83.7582,83.804,83.7917
Clade4,Clade5,94.2051,94.2321,94.2186
Clade4,Clade6,93.8994,94.0677,93.9893
Clade4,Clade7,93.8509,93.913,93.8797
Clade4,Clade8,92.8475,92.9269,92.8726
Clade4,Clade9,67.9159,67.9802,67.948
Clade4,CladeVNBI,83.3267,83.3808,83.3564
Clade4,CladeVNBII,83.3448,83.4251,83.3885
Clade4,CladeVNI,83.3065,83.3685,83.3462
Clade4,CladeVNII,83.441,83.4953,83.4662
Clade5,Clade6,94.8517,94.956,94.9038
Clade5,Clade7,94.7665,94.7698,94.7681
Clade5,Clade8,93.2272,93.3267,93.277
Clade5,Clade9,67.944,67.944,67.944
Clade5,CladeVNBI,83.5513,83.6243,83.5878
Clade5,CladeVNBII,83.5186,83.5892,83.5539
Clade5,CladeVNI,83.5756,83.6473,83.6114
Clade5,CladeVNII,83.6681,83.7107,83.6894
Clade6,Clade7,95.3208,95.5092,95.4164
Clade6,Clade8,93.7073,93.8662,93.764
Clade6,Clade9,67.9062,68.1026,68.0044
Clade6,CladeVNBI,83.6843,83.8082,83.7506
Clade6,CladeVNBII,83.7005,83.8821,83.7765
Clade6,CladeVNI,83.6545,83.859,83.7877
Clade6,CladeVNII,83.8488,83.9461,83.9025
Clade7,Clade8,93.4002,93.4325,93.4121
Clade7,Clade9,67.9298,67.9377,67.9338
Clade7,CladeVNBI,83.5085,83.5739,83.5507
Clade7,CladeVNBII,83.6183,83.6695,83.6343
Clade7,CladeVNI,83.5604,83.6609,83.5985
Clade7,CladeVNII,83.6165,83.6747,83.6414
Clade8,Clade9,67.9648,67.9732,67.969
Clade8,CladeVNBI,83.5875,83.6271,83.602
Clade8,CladeVNBII,83.6231,83.7202,83.6723
Clade8,CladeVNI,83.6144,83.7122,83.6503
Clade8,CladeVNII,83.7512,83.7677,83.7604
Clade9,CladeVNBI,67.972,67.9948,67.9834
Clade9,CladeVNBII,67.935,67.9728,67.9539
Clade9,CladeVNI,67.9387,68.0123,67.9755
Clade9,CladeVNII,67.8929,67.9895,67.9412
CladeVNBI,CladeVNBII,98.5806,98.6483,98.6198
CladeVNBI,CladeVNI,98.2665,98.3319,98.3015
CladeVNBI,CladeVNII,97.6823,97.7454,97.7139
CladeVNBII,CladeVNI,98.2901,98.3398,98.3113
CladeVNBII,CladeVNII,97.7199,97.7744,97.7459
CladeVNI,CladeVNII,97.7238,97.7884,97.7641
